Country,REF_AREA,cluster,investment_cluster,score_fdi,score_banking,score_manuf,score_digital,score_composite
Nicaragua,NIC,3,Tier 3,0.1942477243489855,0.2889056340663354,0.3387308841359505,0.6234258528578221,0.339869
Nigeria,NGA,3,Tier 3,0.1736514122187604,0.3091064539810894,0.2311153631489649,0.6242362412961511,0.311998
Niue,NIU,3,Tier 3,0.142537337905402,0.3276390564811189,0.3386700816058927,0.6233510351985673,0.334009
North Macedonia,MKD,4,Tier 2,0.1458941502040504,0.4072312168259706,0.4817803742613067,0.6235807716521343,0.390737
Northern Mariana Islands,MNP,3,Tier 3,0.142537337905402,0.3276390564811189,0.3386700816058927,0.6235551468585535,0.33405
Norway,NOR,4,Tier 2,0.1510821548494588,0.4159674510040456,0.3175233941929705,0.6300021870542364,0.354698
Oman,OMN,4,Tier 2,0.1373280960414525,0.3077198219137091,0.4160334559293627,0.6241091356084721,0.346959
Pakistan,PAK,4,Tier 2,0.1768913643785793,0.2562566549893581,0.3698084433119599,0.6241891659547897,0.334422
Palau,PLW,4,Tier 2,0.1413739032915788,0.4073297566560678,0.2996485345695142,0.623353637359318,0.343827
Panama,PAN,4,Tier 2,0.1409270764860312,0.4060079722897555,0.2918686942347374,0.6238065304188272,0.341509
Papua New Guinea,PNG,3,Tier 3,0.1418883110444017,0.2881352033470123,0.1524587933105599,0.6236891723215798,0.277453
Paraguay,PRY,3,Tier 3,0.1669589675824182,0.3499630263600427,0.3516154165060237,0.6233755301548625,0.350157
Peru,PER,4,Tier 2,0.1525061848476938,0.3934938963750028,0.292696457807571,0.6244786183687658,0.342195
Philippines,PHL,4,Tier 2,0.1803135724918115,0.3067899951975598,0.3918483642486637,0.6277747311839906,0.354309
Poland,POL,4,Tier 2,0.1459676378278753,0.3752011760551157,0.4537340725146785,0.6331091989994875,0.377646
Portugal,PRT,1,Tier 1,0.256425,0.42014,0.35536,0.695766,0.409956
Puerto Rico,PRI,4,Tier 2,0.142537337905402,0.4501231883738577,0.4547052663953739,0.6235551468585535,0.393679
Qatar,QAT,4,Tier 2,0.140056365755793,0.3612552616026654,0.3925220834466977,0.6246101126514001,0.355383
Romania,ROU,4,Tier 2,0.1486637398167941,0.3341432453123116,0.4515333268103774,0.6274027673385054,0.366499
Russian Federation,RUS,4,Tier 2,0.163475545690951,0.4078288745205538,0.3736285640175192,0.6295750498201869,0.370322
Rwanda,RWA,3,Tier 3,0.1555368403355301,0.3525644586928095,0.3043992474487357,0.6233658878042843,0.335575
Samoa,WSM,3,Tier 3,0.1967441557464782,0.3887086746441159,0.2717387891662469,0.6233620622757982,0.348808
Sao Tome and Principe,STP,3,Tier 3,0.1646138861087673,0.279555069147787,0.2336488802031479,0.6233527156416133,0.302356
Saudi Arabia,SAU,4,Tier 2,0.1573187724949154,0.3240639115972845,0.3660468645277815,0.6285995174279612,0.345443
Serbia,SRB,4,Tier 2,0.1740929943095727,0.3543223548789205,0.3869462085914781,0.6246862532278834,0.362482
Seychelles,SYC,3,Tier 3,0.141050849440671,0.2788752897176896,0.2701689228816373,0.6233980362992831,0.304256
Singapore,SGP,4,Tier 2,0.1535944922507576,0.4309411324787868,0.4408041560156861,0.6697891283255434,0.397972
Sint Maarten (Dutch part),SXM,3,Tier 3,0.142537337905402,0.3504762153294758,0.3386700816058927,0.6233815999575939,0.339724
Slovak Republic,SVK,4,Tier 2,0.1463823015700025,0.3403680503353845,0.4909360115289704,0.624747796769751,0.37669
Slovenia,SVN,4,Tier 2,0.1430684686806346,0.3704566354135862,0.4833673787232712,0.6243703261360106,0.381251
Solomon Islands,SLB,3,Tier 3,0.1534357082341066,0.358034982385006,0.2678456095163333,0.623365943224036,0.327174
Somalia,SOM,3,Tier 3,0.2194577807596731,0.3276390564811189,0.3122231773351884,0.6235551468585535,0.350514
