REF_AREA,Country,Year,score_fdi,score_banking,score_manuf,score_digital,score_composite
COL,Colombia,2024,0.228815,0.434516,0.323706,0.692834,0.396767
COL,Colombia,2025,0.230551,0.440244,0.321873,0.713529,0.4024
COL,Colombia,2026,0.232283,0.445955,0.320044,0.734168,0.408018
COL,Colombia,2027,0.234014,0.451667,0.318216,0.754806,0.413636
COD,"Congo, Dem. Rep.",2024,0.30418,0.266181,0.248869,0.617517,0.34352
COD,"Congo, Dem. Rep.",2025,0.306863,0.264269,0.250964,0.634796,0.347826
COD,"Congo, Dem. Rep.",2026,0.309539,0.262362,0.253054,0.652027,0.352121
COD,"Congo, Dem. Rep.",2027,0.312215,0.260456,0.255143,0.669259,0.356416
COG,"Congo, Rep.",2024,0.221649,0.278605,0.357328,0.617663,0.34901
COG,"Congo, Rep.",2025,0.223878,0.282236,0.355697,0.63493,0.353632
COG,"Congo, Rep.",2026,0.2261,0.285857,0.35407,0.652151,0.358242
COG,"Congo, Rep.",2027,0.228323,0.289478,0.352443,0.669371,0.362851
CRI,Costa Rica,2024,0.227901,0.427596,0.37764,0.618737,0.393427
CRI,Costa Rica,2025,0.229562,0.432836,0.377909,0.636068,0.398768
CRI,Costa Rica,2026,0.231218,0.43806,0.378178,0.653351,0.404095
CRI,Costa Rica,2027,0.232874,0.443285,0.378446,0.670634,0.409422
CIV,Cote d'Ivoire,2024,0.216566,0.287352,0.251593,0.617537,0.323214
CIV,Cote d'Ivoire,2025,0.218688,0.28951,0.253087,0.634818,0.328219
CIV,Cote d'Ivoire,2026,0.220804,0.291663,0.254578,0.652051,0.333211
CIV,Cote d'Ivoire,2027,0.22292,0.293815,0.256068,0.669285,0.338203
HRV,Croatia,2024,0.234045,0.408448,0.400109,0.616662,0.395685
HRV,Croatia,2025,0.236414,0.409337,0.398842,0.63294,0.399557
HRV,Croatia,2026,0.238777,0.410223,0.397578,0.649174,0.403418
HRV,Croatia,2027,0.241139,0.41111,0.396314,0.665408,0.407279
CUB,Cuba,2024,0.225265,0.34624,0.290031,0.617584,0.350164
CUB,Cuba,2025,0.227466,0.349503,0.289325,0.634866,0.35492
CUB,Cuba,2026,0.22966,0.352756,0.288621,0.652102,0.359663
CUB,Cuba,2027,0.231855,0.356009,0.287917,0.669337,0.364405
CUW,Curacao,2024,0.225265,0.360683,0.314421,0.617442,0.359844
CUW,Curacao,2025,0.227466,0.363699,0.313792,0.634721,0.364557
CUW,Curacao,2026,0.22966,0.366706,0.313164,0.651953,0.369256
CUW,Curacao,2027,0.231855,0.369713,0.312537,0.669185,0.373956
CYP,Cyprus,2024,0.247187,0.447209,0.332439,0.619254,0.392919
CYP,Cyprus,2025,0.249086,0.451115,0.33225,0.639075,0.398382
CYP,Cyprus,2026,0.25098,0.455011,0.33206,0.658842,0.40383
CYP,Cyprus,2027,0.252874,0.458907,0.331871,0.678609,0.409279
CZE,Czech Republic,2024,0.250991,0.446558,0.524522,0.741134,0.466294
CZE,Czech Republic,2025,0.254188,0.452874,0.52667,0.76485,0.474113
CZE,Czech Republic,2026,0.257377,0.459174,0.528813,0.788502,0.48191
CZE,Czech Republic,2027,0.260566,0.465473,0.530955,0.812153,0.489708
CZE,Czechia,2024,0.22801,0.368808,0.491723,0.641642,0.411864
CZE,Czechia,2025,0.231095,0.372113,0.491078,0.658924,0.416911
CZE,Czechia,2026,0.234172,0.375409,0.490434,0.676158,0.421944
CZE,Czechia,2027,0.237248,0.378704,0.48979,0.693392,0.426976
DNK,Denmark,2024,0.325325,0.522043,0.36111,0.920024,0.502391
DNK,Denmark,2025,0.328049,0.526119,0.360494,0.942733,0.508614
DNK,Denmark,2026,0.330765,0.530185,0.359879,0.965379,0.514821
DNK,Denmark,2027,0.333481,0.534251,0.359264,0.988026,0.521028
DJI,Djibouti,2024,0.224448,0.307228,0.397499,0.617322,0.366981
DJI,Djibouti,2025,0.226434,0.310407,0.401361,0.6346,0.372792
DJI,Djibouti,2026,0.228414,0.313578,0.405212,0.651831,0.378588
DJI,Djibouti,2027,0.230394,0.31675,0.409064,0.669062,0.384384
DMA,Dominica,2024,0.228282,0.35661,0.315793,0.617318,0.360049
DMA,Dominica,2025,0.229923,0.35818,0.315828,0.634595,0.364398
DMA,Dominica,2026,0.231559,0.359746,0.315864,0.651826,0.368735
DMA,Dominica,2027,0.233195,0.361312,0.315899,0.669056,0.373072
ECU,Ecuador,2024,0.225528,0.356054,0.293516,0.754812,0.381013
ECU,Ecuador,2025,0.226884,0.359885,0.292617,0.779936,0.387178
ECU,Ecuador,2026,0.228237,0.363704,0.291719,0.804992,0.393326
ECU,Ecuador,2027,0.22959,0.367524,0.290822,0.830048,0.399473
EGY,"Egypt, Arab Rep.",2024,0.273527,0.360005,0.418679,0.595307,0.39579
EGY,"Egypt, Arab Rep.",2025,0.276665,0.362591,0.421006,0.611765,0.401252
EGY,"Egypt, Arab Rep.",2026,0.279795,0.36517,0.423326,0.628178,0.406698
EGY,"Egypt, Arab Rep.",2027,0.282925,0.367749,0.425647,0.644591,0.412145
SLV,El Salvador,2024,0.272053,0.374157,0.40465,0.617561,0.39983
SLV,El Salvador,2025,0.274715,0.374627,0.407262,0.634847,0.404856
SLV,El Salvador,2026,0.277369,0.375095,0.409867,0.652086,0.409868
SLV,El Salvador,2027,0.280023,0.375563,0.412472,0.669324,0.414881
GNQ,Equatorial Guinea,2024,0.233513,0.25868,0.407525,0.617585,0.360122
GNQ,Equatorial Guinea,2025,0.236378,0.259561,0.411191,0.634858,0.365573
GNQ,Equatorial Guinea,2026,0.239235,0.260439,0.414846,0.652083,0.371008
GNQ,Equatorial Guinea,2027,0.242092,0.261317,0.418501,0.669308,0.376444
SWZ,Eswatini,2024,0.225949,0.299783,0.521879,0.617315,0.396663
SWZ,Eswatini,2025,0.227876,0.30155,0.525772,0.634588,0.402111
SWZ,Eswatini,2026,0.229797,0.303312,0.529655,0.651813,0.407544
SWZ,Eswatini,2027,0.231719,0.305074,0.533538,0.669039,0.412976
FRO,Faroe Islands,2024,0.225265,0.34624,0.347826,0.617335,0.364563
FRO,Faroe Islands,2025,0.227466,0.349503,0.350249,0.634611,0.3701
FRO,Faroe Islands,2026,0.22966,0.352756,0.352666,0.651841,0.375622
FRO,Faroe Islands,2027,0.231855,0.356009,0.355083,0.66907,0.381143
FJI,Fiji,2024,0.235969,0.445985,0.267899,0.61734,0.37273
FJI,Fiji,2025,0.238033,0.452789,0.266455,0.634618,0.378145
FJI,Fiji,2026,0.240091,0.459575,0.265015,0.651849,0.383545
FJI,Fiji,2027,0.24215,0.466361,0.263576,0.66908,0.388945
FIN,Finland,2024,0.223923,0.34694,0.372512,0.646681,0.376376
FIN,Finland,2025,0.225508,0.349841,0.368809,0.659904,0.379296
