REF_AREA,Country,Year,score_fdi,score_banking,score_manuf,score_digital,score_composite
UKR,Ukraine,2026,0.253881,0.38576,0.319446,0.653911,0.383248
UKR,Ukraine,2027,0.255844,0.384721,0.314375,0.671175,0.385762
ARE,United Arab Emirates,2024,0.233684,0.404533,0.392914,0.635866,0.39664
ARE,United Arab Emirates,2025,0.236086,0.410203,0.393473,0.653652,0.402475
ARE,United Arab Emirates,2026,0.238483,0.415858,0.39403,0.67139,0.408295
ARE,United Arab Emirates,2027,0.240879,0.421512,0.394587,0.689127,0.414114
GBR,United Kingdom,2024,0.190075,0.464335,0.34052,0.531814,0.364599
GBR,United Kingdom,2025,0.185568,0.465246,0.338312,0.522887,0.361137
GBR,United Kingdom,2026,0.181072,0.466156,0.336109,0.513984,0.357685
GBR,United Kingdom,2027,0.176577,0.467065,0.333906,0.50508,0.354232
USA,United States,2024,0.401307,0.526222,0.315353,0.918745,0.514535
USA,United States,2025,0.405674,0.528773,0.312541,0.940054,0.520042
USA,United States,2026,0.410029,0.531318,0.309737,0.961305,0.525533
USA,United States,2027,0.414384,0.533863,0.306933,0.982555,0.531025
URY,Uruguay,2024,0.23107,0.401231,0.297115,0.617775,0.367462
URY,Uruguay,2025,0.232944,0.402067,0.294806,0.635066,0.371114
URY,Uruguay,2026,0.234813,0.402902,0.292502,0.652309,0.374757
URY,Uruguay,2027,0.236682,0.403736,0.290199,0.669552,0.378399
UZB,Uzbekistan,2024,0.293431,0.339874,0.36231,0.617494,0.387074
UZB,Uzbekistan,2025,0.297727,0.345558,0.363449,0.634776,0.393525
UZB,Uzbekistan,2026,0.302011,0.351226,0.364585,0.652011,0.399958
UZB,Uzbekistan,2027,0.306295,0.356893,0.365721,0.669246,0.406391
VUT,Vanuatu,2024,0.252362,0.414093,0.246476,0.617305,0.364312
VUT,Vanuatu,2025,0.256159,0.419032,0.250045,0.634582,0.371033
VUT,Vanuatu,2026,0.259946,0.423957,0.253604,0.651812,0.377737
VUT,Vanuatu,2027,0.263733,0.428882,0.257164,0.669042,0.38444
VEN,"Venezuela, RB",2024,0.26166,0.333491,0.312187,0.618922,0.363702
VEN,"Venezuela, RB",2025,0.264817,0.335557,0.309455,0.63622,0.367942
VEN,"Venezuela, RB",2026,0.267965,0.337618,0.306732,0.65347,0.372171
VEN,"Venezuela, RB",2027,0.271113,0.339679,0.304008,0.670721,0.3764
VNM,Viet Nam,2024,0.278683,0.463967,0.526034,0.618555,0.454816
VNM,Viet Nam,2025,0.280645,0.471302,0.534166,0.635878,0.462736
VNM,Viet Nam,2026,0.282601,0.478618,0.542275,0.653153,0.470634
VNM,Viet Nam,2027,0.284558,0.485933,0.550385,0.670428,0.478533
VIR,Virgin Islands (U.S.),2024,0.225265,0.34624,0.364628,0.617584,0.368813
VIR,Virgin Islands (U.S.),2025,0.227466,0.349503,0.361273,0.634866,0.372907
VIR,Virgin Islands (U.S.),2026,0.22966,0.352756,0.357928,0.652102,0.376989
VIR,Virgin Islands (U.S.),2027,0.231855,0.356009,0.354583,0.669337,0.381072
PSE,West Bank and Gaza,2024,0.225265,0.353288,0.43216,0.559677,0.375877
PSE,West Bank and Gaza,2025,0.227466,0.356136,0.433048,0.573664,0.380268
PSE,West Bank and Gaza,2026,0.22966,0.358975,0.433933,0.587612,0.384648
PSE,West Bank and Gaza,2027,0.231855,0.361815,0.434819,0.601561,0.389027
YEM,"Yemen, Rep.",2024,0.269513,0.32599,0.325154,0.617464,0.367132
YEM,"Yemen, Rep.",2025,0.272193,0.329031,0.327007,0.634741,0.372616
YEM,"Yemen, Rep.",2026,0.274866,0.332064,0.328856,0.651971,0.378084
YEM,"Yemen, Rep.",2027,0.277538,0.335097,0.330704,0.669201,0.383552
ZMB,Zambia,2024,0.224635,0.311058,0.246688,0.617407,0.330308
ZMB,Zambia,2025,0.225923,0.309431,0.248771,0.634688,0.334265
ZMB,Zambia,2026,0.227208,0.307808,0.250848,0.651922,0.338211
ZMB,Zambia,2027,0.228493,0.306186,0.252925,0.669156,0.342157
ZWE,Zimbabwe,2024,0.310725,0.325326,0.257644,0.617412,0.362442
ZWE,Zimbabwe,2025,0.317168,0.32549,0.259535,0.634688,0.368344
ZWE,Zimbabwe,2026,0.323594,0.325654,0.26142,0.651918,0.37423
ZWE,Zimbabwe,2027,0.330019,0.325818,0.263306,0.669147,0.380116
