country,year,composite_v1,composite_v2,tier_v1,tier_v2
Costa Rica,2025,0.39876845,0.5395229119999999,High,High
Costa Rica,2026,0.40409510000000004,0.551808026,High,High
Costa Rica,2027,0.40942175,0.564093176,High,High
Cote d'Ivoire,2024,0.32321345,0.4935345139999999,Medium,High
Cote d'Ivoire,2025,0.32821925,0.5055732319999999,Medium,High
Cote d'Ivoire,2026,0.33321165,0.51757875,Medium,High
Cote d'Ivoire,2027,0.33820375,0.52958469,Medium,High
Croatia,2024,0.39568515,0.526132194,High,High
Croatia,2025,0.39955695,0.5370884359999999,High,High
Croatia,2026,0.40341815,0.548014982,High,High
Croatia,2027,0.4072793,0.5589415579999999,High,High
Cuba,2024,0.35016405,0.506340102,Medium,High
Cuba,2025,0.35492,0.518318132,Medium,High
Cuba,2026,0.35966265,0.530263992,Medium,High
Cuba,2027,0.3644054,0.5422092999999999,High,High
Curacao,2024,0.3598439,0.5106499139999999,Medium,High
Curacao,2025,0.36455675,0.522600078,High,High
Curacao,2026,0.3692561,0.53451745,High,High
Curacao,2027,0.373956,0.546435028,High,High
Cyprus,2024,0.39291889999999996,0.527735278,High,High
Cyprus,2025,0.39838205,0.5414911059999999,High,High
Cyprus,2026,0.40383015,0.555209412,High,High
Cyprus,2027,0.4092785,0.5689278179999999,High,High
Czech Republic,2024,0.4662941,0.6274553059999999,High,High
Czech Republic,2025,0.4741124,0.644473092,High,High
Czech Republic,2026,0.48191025000000004,0.661445242,High,High
Czech Republic,2027,0.4897074,0.6784164979999999,High,High
Czechia,2024,0.41186415,0.5456996839999999,High,High
Czechia,2025,0.41691105,0.55778323,High,High
Czechia,2026,0.42194395,0.56983322,High,High
Czechia,2027,0.4269763,0.581882968,High,High
Denmark,2024,0.50239055,0.7469690899999999,High,High
Denmark,2025,0.50861455,0.7626930919999999,High,High
Denmark,2026,0.5148213,0.7783735319999999,High,High
Denmark,2027,0.52102825,0.7940546299999999,High,High
Djibouti,2024,0.36698055,0.511522272,High,High
Djibouti,2025,0.3727922,0.523920256,High,High
Djibouti,2026,0.37858790000000003,0.53628449,High,High
Djibouti,2027,0.3843841,0.54864896,High,High
Dominica,2024,0.36004895000000003,0.5104713959999999,Medium,High
Dominica,2025,0.3643979,0.522230628,High,High
Dominica,2026,0.3687354,0.5339586179999999,High,High
Dominica,2027,0.37307245,0.5456858499999999,High,High
Ecuador,2024,0.3810133,0.598347208,High,High
Ecuador,2025,0.38717789999999996,0.6154536519999999,High,High
Ecuador,2026,0.39332525,0.632513502,High,High
Ecuador,2027,0.3994731,0.649573588,High,High
"Egypt, Arab Rep.",2024,0.39579050000000005,0.5115344479999999,High,High
"Egypt, Arab Rep.",2025,0.40125175,0.523280836,High,High
"Egypt, Arab Rep.",2026,0.4066981,0.534995114,High,High
"Egypt, Arab Rep.",2027,0.41214470000000003,0.546709492,High,High
El Salvador,2024,0.39982985000000004,0.5265431079999999,High,High
El Salvador,2025,0.40485614999999997,0.5385245879999999,High,High
El Salvador,2026,0.4098684,0.550473322,High,High
El Salvador,2027,0.41488045,0.562421398,High,High
Equatorial Guinea,2024,0.36012215000000003,0.507056288,Medium,High
Equatorial Guinea,2025,0.36557300000000004,0.519212028,High,High
Equatorial Guinea,2026,0.37100835,0.531333828,High,High
Equatorial Guinea,2027,0.3764437,0.5434556279999999,High,High
Eswatini,2024,0.3966632,0.5231022519999999,High,High
Eswatini,2025,0.40211090000000005,0.53530176,High,High
Eswatini,2026,0.40754345000000003,0.547467368,High,High
Eswatini,2027,0.41297649999999997,0.55963374,High,High
Faroe Islands,2024,0.36456299999999997,0.51195576,High,High
Faroe Islands,2025,0.3701,0.524242742,High,High
Faroe Islands,2026,0.3756217,0.536496754,High,High
Faroe Islands,2027,0.3811435,0.548750214,High,High
Fiji,2024,0.3727297,0.518666294,High,High
Fiji,2025,0.3781445,0.5310349459999999,High,High
Fiji,2026,0.3835446,0.5433699879999999,High,High
Fiji,2027,0.38894525,0.555705236,High,High
Finland,2024,0.3763761,0.5336869759999999,High,High
Finland,2025,0.3792957,0.542579956,High,High
Finland,2026,0.38220719999999997,0.5514481139999999,High,High
Finland,2027,0.38511815,0.56031603,High,High
France,2024,0.39102329999999996,0.55846117,High,High
France,2025,0.39487085,0.5709479319999999,High,High
France,2026,0.3987076,0.5834004939999999,High,High
France,2027,0.40254465,0.5958531979999999,High,High
French Polynesia,2024,0.3633399,0.5114618959999999,High,High
French Polynesia,2025,0.36790265,0.523359178,High,High
French Polynesia,2026,0.37245265,0.535223932,High,High
French Polynesia,2027,0.3770027,0.547088692,High,High
Gabon,2024,0.3744562,0.5127410459999999,High,High
Gabon,2025,0.38082775,0.5253373239999999,High,High
Gabon,2026,0.38718215,0.5378988659999999,High,High
Gabon,2027,0.3935363,0.5504602719999999,High,High
Georgia,2024,0.40580385,0.5321535419999999,High,High
Georgia,2025,0.41223509999999997,0.5449256539999999,High,High
Georgia,2026,0.41864830000000003,0.557662208,High,High
Georgia,2027,0.42506175,0.5703994259999999,High,High
Germany,2024,0.54819,0.71911198,High,High
Germany,2025,0.55422395,0.734663526,High,High
Germany,2026,0.56024115,0.7501722379999999,High,High
Germany,2027,0.56625815,0.7656808199999999,High,High
Ghana,2024,0.35243035,0.50837713,Medium,High
Ghana,2025,0.35771315,0.5205847219999999,Medium,High
Ghana,2026,0.36298240000000004,0.53275959,High,High
Ghana,2027,0.36825110000000005,0.544934252,High,High
Gibraltar,2024,0.36188805,0.511029702,Medium,High
Gibraltar,2025,0.36674475,0.5230480319999999,High,High
Gibraltar,2026,0.37158815,0.5350341919999999,High,High
Gibraltar,2027,0.37643139999999997,0.5470196999999999,High,High
Greece,2024,0.38196095,0.51517463,High,High
Greece,2025,0.38775000000000004,0.528509938,High,High
Greece,2026,0.39352345,0.541808958,High,High
Greece,2027,0.39929665000000003,0.5551073139999999,High,High
Greenland,2024,0.3504098,0.506438402,Medium,High
Greenland,2025,0.35539275000000004,0.5185072319999999,Medium,High
Greenland,2026,0.36036165,0.5305435919999999,Medium,High
Greenland,2027,0.3653309,0.5425794999999999,High,High
Guam,2024,0.3583443,0.509612202,Medium,High
Guam,2025,0.3628775,0.521501132,High,High
Guam,2026,0.36739815,0.5333581919999999,High,High
Guam,2027,0.3719189,0.5452146999999999,High,High
Guinea,2024,0.34058639999999996,0.4994318259999999,Medium,High
Guinea,2025,0.34611655,0.511598334,Medium,High
Guinea,2026,0.3516313,0.5237316219999999,Medium,High
Guinea,2027,0.35714585,0.5358647799999999,Medium,High
Guyana,2024,0.36100794999999997,0.508782538,Medium,High
Guyana,2025,0.3656521,0.520576364,High,High
Guyana,2026,0.3702839,0.532338212,High,High
Guyana,2027,0.3749157,0.5440995319999999,High,High
Haiti,2024,0.35433965,0.5052232059999999,Medium,High
Haiti,2025,0.35954400000000003,0.5173049459999999,Medium,High
Haiti,2026,0.36473350000000004,0.52935409,High,High
Haiti,2027,0.36992355,0.5414034759999999,High,High
Honduras,2024,0.40781645,0.5312647659999999,High,High
Honduras,2025,0.4134277,0.543543404,High,High
Honduras,2026,0.41902385,0.55578871,High,High
Honduras,2027,0.42461925,0.5680331519999999,High,High
"Hong Kong SAR, China",2024,0.4305693,0.553668056,High,High
"Hong Kong SAR, China",2025,0.4362915,0.5662533639999999,High,High
"Hong Kong SAR, China",2026,0.44199780000000005,0.57880362,High,High
"Hong Kong SAR, China",2027,0.44770415,0.591353846,High,High
Hungary,2024,0.4088229,0.532931826,High,High
Hungary,2025,0.4147549,0.546867252,High,High
Hungary,2026,0.4206708,0.560764606,High,High
Hungary,2027,0.42658630000000003,0.574661172,High,High
Iceland,2024,0.36743285000000003,0.516659324,High,High
Iceland,2025,0.36949655000000003,0.525276228,High,High
Iceland,2026,0.37155380000000005,0.533868904,High,High
Iceland,2027,0.37361175,0.542462474,High,High
India,2024,0.42575285,0.554902512,High,High
India,2025,0.4318453,0.567941308,High,High
India,2026,0.4379207,0.580944072,High,High
India,2027,0.44399655,0.593947594,High,High
Indonesia,2024,0.38379375,0.512601278,High,High
Indonesia,2025,0.38787525,0.524031386,High,High
Indonesia,2026,0.39194514999999996,0.535429528,High,High
Indonesia,2027,0.39601575,0.546828564,High,High
"Iran, Islamic Rep.",2024,0.455815,0.550469596,High,High
"Iran, Islamic Rep.",2025,0.463726,0.563768032,High,High
"Iran, Islamic Rep.",2026,0.4716157,0.577030912,High,High
"Iran, Islamic Rep.",2027,0.4795049,0.5902930639999999,High,High
Iraq,2024,0.3869656,0.522313446,High,High
Iraq,2025,0.39222795,0.534506674,High,High
Iraq,2026,0.3974763,0.546666912,High,High
Iraq,2027,0.40272465,0.5588271499999999,High,High
Ireland,2024,0.45833075,0.6194416239999999,High,High
Ireland,2025,0.46136604999999997,0.6318345379999999,High,High
Ireland,2026,0.4643934,0.6441945659999999,High,High
Ireland,2027,0.46742055000000005,0.6565539,High,High
Isle of Man,2024,0.3457828,0.504587602,Medium,High
Isle of Man,2025,0.3498635,0.516295532,Medium,High
Isle of Man,2026,0.35393265,0.5279719919999999,Medium,High
Isle of Man,2027,0.35800215,0.5396479999999999,Medium,High
Israel,2024,0.3815566,0.525842908,High,High
Israel,2025,0.38589955,0.5377815559999999,High,High
Israel,2026,0.39022999999999997,0.5496874279999999,High,High
Israel,2027,0.39456075,0.5615928779999999,High,High
Italy,2024,0.39917095,0.54198149,High,High
Italy,2025,0.40352785,0.5545982819999999,High,High
Italy,2026,0.40787260000000003,0.56718012,High,High
Italy,2027,0.41221735000000004,0.579761958,High,High
Jamaica,2024,0.36759655,0.51364893,High,High
Jamaica,2025,0.37251215,0.525674228,High,High
Jamaica,2026,0.37741460000000004,0.537666882,High,High
Jamaica,2027,0.38231695,0.549660124,High,High
Japan,2024,0.4662293,0.6019378799999999,High,High
Japan,2025,0.47063625,0.6152791719999999,High,High
Japan,2026,0.47503134999999996,0.6285845499999999,High,High
Japan,2027,0.47942625,0.64188927,High,High
Kazakhstan,2024,0.3584382,0.49038965399999995,Medium,High
Kazakhstan,2025,0.3626987,0.501542784,High,High
Kazakhstan,2026,0.36694795,0.5126657499999999,High,High
Kazakhstan,2027,0.37119715,0.5237887459999999,High,High
