Country,cluster,cluster_name,score_fdi,score_banking,score_manuf,score_digital
Brazil,0,Tier B – Moderate-High,0.2351219617355166,0.45694126610920344,0.35126177103732004,0.4121580028101233
Portugal,0,Tier B – Moderate-High,0.227461875,0.37343475,0.3647336666666667,0.4380857083333333
Austria,0,Tier B – Moderate-High,0.2701189583333333,0.45113825,0.44894558333333334,0.5167635
Australia,0,Tier B – Moderate-High,0.19118264207569946,0.45987223348885126,0.2988905169501627,0.4136383308808354
Russian Federation,0,Tier B – Moderate-High,0.22315823863693207,0.36829855142014156,0.359320107060445,0.4140648691508894
Singapore,0,Tier B – Moderate-High,0.21970090562691738,0.41113909136849913,0.48376553040275866,0.43565608592200866
Viet Nam,0,Tier B – Moderate-High,0.2543641460736035,0.3724659528108753,0.42470499474968854,0.40245721571799714
Armenia,0,Tier B – Moderate-High,0.22935988042450103,0.37247140575322707,0.36206983028371637,0.401876534696122
Belgium,0,Tier B – Moderate-High,0.23093065298416673,0.34223772718789786,0.41295261155856844,0.489848931784582
Cambodia,0,Tier B – Moderate-High,0.2164707310162319,0.3964541378029512,0.37573630954224585,0.401872370643382
Canada,0,Tier B – Moderate-High,0.2064391370862224,0.4573685824270324,0.366296663531682,0.4221937585083881
Argentina,0,Tier B – Moderate-High,0.21204595160860806,0.3801333264364863,0.34610261868394104,0.4041518790143437
Samoa,3,Tier C – Moderate-Low,0.22909953260864271,0.3371003925858654,0.3281541384610516,0.401796234673473
Sri Lanka,3,Tier C – Moderate-Low,0.22268446642353937,0.273639943857828,0.3879825400173092,0.40216915815241844
Thailand,3,Tier C – Moderate-Low,0.20263486227473707,0.40539752187373734,0.44139870208291226,0.2398034210280426
St. Kitts and Nevis,3,Tier C – Moderate-Low,0.19807283751586838,0.3580842344029857,0.35830959029161474,0.40181574170927553
Latvia,3,Tier C – Moderate-Low,0.2034853313686518,0.38528011439795945,0.3956476539280756,0.3699869560988862
Saudi Arabia,3,Tier C – Moderate-Low,0.2148305455715821,0.30106594371465584,0.37696744397003257,0.3980076431483437
Lesotho,3,Tier C – Moderate-Low,0.2525320961511072,0.23257833066559644,0.38800398193652247,0.40180271597520406
Seychelles,3,Tier C – Moderate-Low,0.20129113221608955,0.27847356451146393,0.3160736174333974,0.4018547044467404
Tunisia,3,Tier C – Moderate-Low,0.20655587298103595,0.3007767540157133,0.46225893990429395,0.4152292218849946
Slovak Republic,3,Tier C – Moderate-Low,0.19421194283726795,0.3126073454619414,0.5120463272406246,0.4108728699411934
Trinidad and Tobago,3,Tier C – Moderate-Low,0.19905499040921168,0.31874865957825077,0.39424241130630183,0.40207067690179366
Libya,3,Tier C – Moderate-Low,0.19263028550103603,0.30806040405104124,0.4003490579600441,0.4020488565194602
Sint Maarten (Dutch part),3,Tier C – Moderate-Low,0.19780747253861028,0.32957797626405516,0.3171753616470607,0.4018292081519266
Slovenia,3,Tier C – Moderate-Low,0.19614966064866055,0.32890838351558044,0.4680608138156508,0.4150777912257719
"Macao SAR, China",3,Tier C – Moderate-Low,0.19780747253861028,0.35108281803311087,0.32300286091165087,0.40234890592176686
Oman,3,Tier C – Moderate-Low,0.18975034489456064,0.2771037326804131,0.3858054992204856,0.4025370916354379
"Taiwan, China",3,Tier C – Moderate-Low,0.19780747253861028,0.30555994617515986,0.3392465825253186,0.40780587871416474
Pakistan,3,Tier C – Moderate-Low,0.23054310337222061,0.2305078600498458,0.34667760090574357,0.4025377156499495
Northern Mariana Islands,3,Tier C – Moderate-Low,0.19780747253861028,0.30555994617515986,0.35014493664114466,0.40199813416625124
Palau,3,Tier C – Moderate-Low,0.19562365514125937,0.373228387505673,0.2988114168640124,0.4017891095161883
Panama,3,Tier C – Moderate-Low,0.19331076619591517,0.3879929515202756,0.28439415460733036,0.4023359718777755
North Macedonia,3,Tier C – Moderate-Low,0.1999549003148939,0.379414537085709,0.48829834291373647,0.3282526937365275
Niue,3,Tier C – Moderate-Low,0.19780747253861028,0.30555994617515986,0.3392465825253186,0.40178689107370963
St. Vincent and the Grenadines,3,Tier C – Moderate-Low,0.20593650574536596,0.3149930047013754,0.31694856064124316,0.40179888029871164
Suriname,3,Tier C – Moderate-Low,0.2093812931946126,0.3018692565332282,0.35049997283616957,0.40185511028998594
Paraguay,3,Tier C – Moderate-Low,0.23392636077550477,0.34762064490722056,0.33601617050231525,0.26855043726286315
St. Martin (French part),3,Tier C – Moderate-Low,0.19780747253861028,0.30555994617515986,0.3407360240694623,0.40199813416625124
New Caledonia,3,Tier C – Moderate-Low,0.19780747253861028,0.350662978401586,0.3739801448826285,0.4019495956058743
Philippines,3,Tier C – Moderate-Low,0.24088737750826672,0.2759820100731184,0.39564203554135013,0.3257432256973591
Nauru,3,Tier C – Moderate-Low,0.19804733356412496,0.3518951753162016,0.34978620629299567,0.4017873559712591
Namibia,3,Tier C – Moderate-Low,0.19610825904417536,0.32553251208050893,0.32760678215133515,0.40187669886140087
Poland,3,Tier C – Moderate-Low,0.20290360004191713,0.35445783938108893,0.45434707931575397,0.3973555008335639
Syrian Arab Republic,3,Tier C – Moderate-Low,0.20143444967420263,0.21600392730229057,0.35261621447824565,0.40199813416625124
Morocco,3,Tier C – Moderate-Low,0.21848386914138118,0.3124623190626808,0.3880145799867502,0.40273576678493694
Montserrat,3,Tier C – Moderate-Low,0.19780747253861028,0.30555994617515986,0.3392465825253186,0.40178967547358213
Qatar,3,Tier C – Moderate-Low,0.1956942658151941,0.29006867580303564,0.41356699950254056,0.3971097316914524
Montenegro,3,Tier C – Moderate-Low,0.20892791778922368,0.3634448818139475,0.347738320506599,0.40185626548200254
Peru,3,Tier C – Moderate-Low,0.21128677364677131,0.37071098673151703,0.2983999832489626,0.3844600679736818
Romania,3,Tier C – Moderate-Low,0.20566139599308889,0.34268017422338465,0.45124270162645086,0.3190557473553565
South Africa,3,Tier C – Moderate-Low,0.18672743160282304,0.30555994617515986,0.4140021314987981,0.3998358622263683
"Korea, Dem. People's Rep.",3,Tier C – Moderate-Low,0.19766618762243823,0.30555994617515986,0.29947470786430186,0.40199813416625124
Czechia,3,Tier C – Moderate-Low,0.18953175288056445,0.3276221842318399,0.4997850742768883,0.42603187567072204
Kuwait,3,Tier C – Moderate-Low,0.19575417978832602,0.28870784336391003,0.3360418974712742,0.40311758114061863
Curacao,3,Tier C – Moderate-Low,0.19780747253861028,0.32887818713733197,0.32227775878684045,0.40190974416579567
Cuba,3,Tier C – Moderate-Low,0.19780747253861028,0.30555994617515986,0.29879368646831067,0.40199813416625124
Costa Rica,3,Tier C – Moderate-Low,0.20718651090092735,0.362286245213016,0.37428096449518305,0.40253775571506223
"Congo, Rep.",3,Tier C – Moderate-Low,0.19385535832068157,0.23329885964877708,0.3776499664714284,0.4022523534042284
Chile,3,Tier C – Moderate-Low,0.19514175505509937,0.35788289065024187,0.3364076756606489,0.39715949031259346
Uzbekistan,3,Tier C – Moderate-Low,0.23985276215273033,0.26920909049270175,0.34820108100004726,0.4018882439539102
Aruba,3,Tier C – Moderate-Low,0.19780747253861028,0.32493519062611753,0.3188413445364406,0.40188112608469995
Cayman Islands,3,Tier C – Moderate-Low,0.19780747253861028,0.3190090967827431,0.30784668279058225,0.40220466445688935
"Venezuela, RB",3,Tier C – Moderate-Low,0.2222960102557661,0.30771931995689605,0.3462809519075078,0.4031509649076696
Djibouti,3,Tier C – Moderate-Low,0.1990629805473638,0.26756665517944084,0.3493504108634995,0.4018029459397671
Cabo Verde,3,Tier C – Moderate-Low,0.21403768963691736,0.28228906643661894,0.3102259761473585,0.40181194078088184
Bulgaria,3,Tier C – Moderate-Low,0.19929607502135835,0.3333400756781744,0.4022198902730396,0.338367726994081
Brunei Darussalam,3,Tier C – Moderate-Low,0.18553973683449407,0.30655676685542715,0.37604752424211113,0.3626403814975638
British Virgin Islands,3,Tier C – Moderate-Low,0.19780747253861028,0.30555994617515986,0.33943339806050243,0.40199813416625124
Botswana,3,Tier C – Moderate-Low,0.20025930432802644,0.30505645988495256,0.39643193568854257,0.4019213431322082
West Bank and Gaza,3,Tier C – Moderate-Low,0.19780747253861028,0.3179511696421354,0.42108865781535626,0.385495954416682
Bhutan,3,Tier C – Moderate-Low,0.20293022266918162,0.3405249788248306,0.2992167946352237,0.4017930390420437
Bermuda,3,Tier C – Moderate-Low,0.19780747253861028,0.30555994617515986,0.3123148277036859,0.40200234910728816
Belarus,3,Tier C – Moderate-Low,0.21822777023256812,0.31426406760840786,0.44758607429318076,0.416747144355994
Barbados,3,Tier C – Moderate-Low,0.1989500998395317,0.3625389923384548,0.33251524604056965,0.40189486571856614
Bangladesh,3,Tier C – Moderate-Low,0.09022779166666667,0.21562416666666664,0.36073045833333334,0.16830045833333332
Bahrain,3,Tier C – Moderate-Low,0.19804104417629262,0.3136586479053449,0.38721570626297236,0.4030461789368303
Virgin Islands (U.S.),3,Tier C – Moderate-Low,0.19780747253861028,0.30555994617515986,0.40649003167584513,0.40199813416625124
Dominica,3,Tier C – Moderate-Low,0.20782244095651747,0.3370318136885673,0.31519299785707217,0.40180438037265587
Ecuador,3,Tier C – Moderate-Low,0.20801601947153295,0.31350857839611584,0.3047324005382685,0.44157776662907483
"Egypt, Arab Rep.",3,Tier C – Moderate-Low,0.23426886283511303,0.3278864938836859,0.38964932758941623,0.39003680562407855
Turkmenistan,3,Tier C – Moderate-Low,0.20949822088781322,0.30555994617515986,0.3939589010037989,0.40199813416625124
Turks and Caicos Islands,3,Tier C – Moderate-Low,0.19780747253861028,0.30555994617515986,0.29667293210876233,0.4019049034456901
Kazakhstan,3,Tier C – Moderate-Low,0.200959431357575,0.3384719844966184,0.3376389402718604,0.3798054708290683
Tuvalu,3,Tier C – Moderate-Low,0.21672693569822302,0.3465257439322653,0.30813525478518455,0.4017880186343888
Israel,3,Tier C – Moderate-Low,0.19176765166302104,0.3587132254010528,0.3945243939869966,0.40783097942547836
Isle of Man,3,Tier C – Moderate-Low,0.19780747253861028,0.30555994617515986,0.3150559819481272,0.40199813416625124
Iraq,3,Tier C – Moderate-Low,0.21266389547465847,0.33004012756460727,0.37809133482733936,0.40273038888146706
Indonesia,3,Tier C – Moderate-Low,0.24157690063425527,0.3259338473850008,0.3996652289191717,0.39554760767244
American Samoa,3,Tier C – Moderate-Low,0.20283435791163482,0.30655615266537106,0.35857238396180974,0.4019981280471448
Hungary,3,Tier C – Moderate-Low,0.20207249904709854,0.3343181858164464,0.46363225036765415,0.3736502196685159
Andorra,3,Tier C – Moderate-Low,0.19507084110936504,0.30555994617515986,0.3574765354589777,0.40641989366801634
"Bahamas, The",3,Tier C – Moderate-Low,0.18953488154372378,0.319234525207466,0.3101316365003883,0.4019258169569682
Guyana,3,Tier C – Moderate-Low,0.2162146976136654,0.31108980365056643,0.3202506890846352,0.4018580061892492
Greenland,3,Tier C – Moderate-Low,0.19780747253861028,0.30555994617515986,0.28849793503287363,0.40199813416625124
Anguilla,3,Tier C – Moderate-Low,0.19780747253861028,0.30555994617515986,0.3392465825253186,0.4017949652391437
Greece,3,Tier C – Moderate-Low,0.19466029822564,0.355420879866065,0.35255657860796336,0.3716684285384035
